clues,cl_treatmentArm,cl_cov_movi,cl_cov_telcel,cl_cov_moviPct,cl_cov_telcelPct,cl_inst_clCat,cl_ent_clave_clCat,cl_ent_nombre_clCat,cl_jur_clave_clCat,cl_jur_nombre_clCat,cl_mun_clave_clCat,cl_mun_nombre_clCat,cl_loc_clave_clCat,cl_loc_nombre_clCat,cl_clase_nombre_clCat,cl_tipo_nombre_clCat,cl_nombre_clCat,cl_domicilio_clCat,cl_cp_clCat,cl_longitude,cl_latitude,cl_altitude
CSIMO000462,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,5,PICHUCALCO,13,BOCHIL,107,EL COPAL,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,EL COPAL (BOCHIL),DOMICILIO CONOCIDO    ,29774,-92.92583333,16.96833333,1360
CSIMO000474,2,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,5,PICHUCALCO,14,EL BOSQUE,3,ÁLVARO OBREGÓN,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,ÁLVARO OBREGÓN,DOMICILIO CONOCIDO    ,29843,-92.80694444,17.02805556,1400
CSIMO000503,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,5,PICHUCALCO,14,EL BOSQUE,58,SAN PEDRO NICHTALUCUM,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,SAN PEDRO NICHTALUCUM,DOMICILIO CONOCIDO    ,29840,-92.72472222,17.03361111,940
CSIMO000841,0,0,1,0,0.985502362,IMSS-PROSPERA,7,CHIAPAS,4,VILLAFLORES,20,LA CONCORDIA,46,LA TIGRILLA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,LA TIGRILLA,DOMICILIO CONOCIDO    ,30362,-92.85111111,15.98666667,570
CSIMO001215,1,0,1,0,0.985751271,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,29,CHICOASÉN,1,CHICOASÉN,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,CHICOASÉN,DOMICILIO CONOCIDO    ,29640,-93.10472222,16.96527778,260
CSIMO001244,0,0,1,0,0.927627146,IMSS-PROSPERA,7,CHIAPAS,3,COMITÁN,30,CHICOMUSELO,42,PABLO L. SIDAR,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,PABLO L. SIDAR,DOMICILIO CONOCIDO    ,30120,-92.27861111,15.82972222,610
CSIMO001886,1,0,1,0.21572268,1,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,44,IXTAPA,2,AZTLÁN (RANCHO NUEVO),UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,AZTLÁN (RANCHO NUEVO),DOMICILIO CONOCIDO    ,29349,-92.92472222,16.77,1140
CSIMO001891,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,44,IXTAPA,15,CHIGTÓN,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,CHIGTÓN,DOMICILIO CONOCIDO    ,29347,-92.87416667,16.84555556,1090
CSIMO001920,3,1,1,1,1,IMSS-PROSPERA,7,CHIAPAS,5,PICHUCALCO,45,IXTAPANGAJOYA,1,IXTAPANGAJOYA,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,IXTAPANGAJOYA,DOMICILIO CONOCIDO    ,29590,-93.00222222,17.49583333,125
CSIMO001990,0,0,0,0,0.296815962,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,46,JIQUIPILAS,103,TIERRA Y LIBERTAD,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,TIERRA Y LIBERTAD,DOMICILIO CONOCIDO    ,30448,-93.85972222,16.37916667,680
CSIMO002772,0,0,1,0,1,IMSS-PROSPERA,7,CHIAPAS,1,TUXTLA GUTIERREZ,58,NICOLÁS RUÍZ,1,NICOLÁS RUÍZ,UNIDAD DE CONSULTA EXTERNA,NO ESPECIFICADO,NICOLÁS RUÍZ,DOMICILIO CONOCIDO    ,30340,-92.58472222,16.43722222,700
