group,name,size,uuid
17370,PREMATURO,0,35f86b73-00fb-4905-91c7-15e489c7b5f4
17296,4743820e-984b-4b96-99fb-719ec7c719ce,0,e134efe9-9bb5-496c-99bc-b156e18ee88b
17100,CHECKUP_REM,42,3f81d375-1c82-476b-a7ca-1928f2a3258c
16795,DiabetesFN,33,c0fe28ca-6aac-43af-bb9e-afd4e9f9f6df
16794,Diabetes,0,fda99018-aacc-4df9-a3c6-04802ca438c4
16686,644a4c8c-506f-41f7-8cc1-2b255a5f0b6a,2,1315ca5e-c1af-46aa-9cbb-b41826213a67
16685,986c0baa-7b1e-4246-a19b-a0ca6381e51a,1,b7505b9a-94d6-4eb7-a55f-accb1cd36e6a
16684,04178fff-eaa6-4bb9-bcdd-94cbd0d7a1c5,1,30f35af4-9449-4ef1-8c41-64b5dfd7bb82
16683,3e51bf51-c5cc-4a50-9672-039078fbff32,0,36a55397-9281-409e-b82b-5e96d6396615
16682,605e576e-4c0f-40a4-b5d8-213a5d13728d,7,8455eb81-edd0-481b-80ed-cd2174da904e
16681,3f6fd560-0c87-4363-87db-a7b2e09a2209,1,bf57c360-1d7d-4d19-99b7-e42ad91f8125
16680,665bfe56-bef0-4c99-a2f1-37e05596b89b,1,b2b84ffb-32ab-45fd-935a-6b3027fe612e
16679,67b408c1-5406-4c1d-9494-52149daecc16,1,4f62e750-7083-4220-bd04-e1802c469525
16678,c2077b4d-48fe-4052-9868-04d59f46eaab,7,3ade6d91-0330-4234-9023-1bd26fe17e24
16677,7fcedd12-71fa-43c7-8e41-a0772d5e54ff,5,7e9bf468-f43e-4703-bd62-c669f89994e5
16676,60db4497-e9f4-4744-a351-13e353210751,0,6c10e26b-bc5e-4c9f-af91-9b6a731d5e2e
16675,fc0649b5-1855-4f19-99c8-e70362f47d1e,0,908b517d-94a2-4251-a173-044279b3c016
16674,068fbc99-8d6b-404a-baad-346788fcf895,5,dd9bf401-0fcd-49a8-a0c2-95056ac0c21c
16673,e1f462cd-f82e-4495-a773-2f572d438713,0,4fd3ed10-c944-4e16-9f43-a9eb2e8a95c6
16672,49ed1b63-e9ed-40cc-9d3a-fcc941ab3116,0,89141aa4-8ce0-4172-a22e-80f073c56cab
16671,22f36dc6-472e-4bbb-a736-016cf2cc69cf,1,ca0bde59-a4b4-4fe4-9fe9-422629615b69
16670,e6a9efc0-8379-40c8-adea-2aab1973ee08,2,baf4670f-2e5b-4171-9a82-653ca1f4deef
16669,55578b2f-bbc1-4818-b7e5-87e979d2c22d,2,215beec4-cf24-4f28-91ae-97e885897b13
16668,d60c79d3-18f9-4e6b-9bb8-d269edfe773f,5,eb8897e7-2151-4361-ac7a-2741ef96a618
16667,ecb3ac44-785d-463e-8b3a-80f85ee892cc,4,c5651e92-4598-4bd5-8149-8a2b22ab8988
16666,d99c8333-3d88-4c34-a438-060f0cf788e0,4,d6859b6e-907c-44f5-adf8-35e91a1a441f
16665,4d097490-b73c-42d1-aad4-5475f3b56daf,2,12619240-ad2d-4cbd-8e44-581114952dab
16664,330c8ae8-1d49-4bc7-b003-d67ed1043e22,4,91bd533a-c129-402c-8aa5-94e6252b368e
16663,0c66542d-a55d-4043-9a18-7c3261b1e5c6,2,bad0a3b1-c8fd-499d-9bbc-ae12290d100c
16662,4fc8e3e1-65ba-4dd3-9517-a8db45978858,4,b9ad0800-0f78-4028-9af4-8ff78bc81553
16661,a4d47e1f-cfce-48a3-9027-20bbcb52fcbf,15,0e1fc25b-ac4e-40fb-846d-d85abeb81f2c
16660,9a821dde-df0c-4d3d-ad01-c5a1723a9c18,3,fdd35b62-d7e8-4c61-ab82-8df1e0a27e92
16525,3692ba59-a356-48f5-b536-2dae3be3fd77,0,9872eecb-0422-4fbc-aa57-ee907eb4f932
16524,fefbb8b3-08ad-451e-a348-d2d5e1d85734,0,3e3d8644-1011-4b1d-8648-88f7b056ddb5
16523,641a7d91-6758-4f72-bc16-51f1c87d198f,1,b4a029ca-81a9-4f40-9a6a-dc8e977f6e5e
16522,d7719dad-8a27-4d18-91dd-da4a59823c93,5,322583b3-19fc-4d3b-91dd-2e47092d5475
16521,ae120f0f-6067-4708-93bf-506f4eb367b3,0,19ef9a2e-8b39-4c3a-bcb4-cc731a536362
16520,99d19f15-8b37-4123-b224-074d9e635367,0,da11682c-232d-4bd8-902d-d6728dbee804
16519,3590e298-58bb-429f-8637-6ca9da55bf73,0,97b6ee76-4b1d-41ff-87af-e1e71ac28823
16518,f7233996-0303-4aed-af82-4dc63d53da10,8,b50e0b96-a254-48fa-a015-550978ce6ab5
16517,7a700b01-2df9-4082-84a8-badcf40b9ccf,1,2e7e3f06-16a7-4da3-9b21-6f2d6c332ccd
16516,5dcb4262-50c3-458c-aa91-c3ab06d3913d,1,606bd95b-a636-41f9-aa9b-53e0ab913e7f
16515,d57b8a4f-5f94-47dd-a4f9-6bc5db820428,1,46df486f-1264-4746-a651-df28183ec47e
16512,d7f5554b-250d-47cb-ad40-54593770840b,0,932e5b87-4259-448f-986e-cab5590f629e
16510,f5406573-77a7-4b30-b05d-b288f5bebd3f,4,b98893dc-a245-4019-8ab8-2b2816d81708
16048,Muerte,3,d8daa36e-2424-42b9-ab9d-5f91957f2381
15916,EC_request_yes,0,cb4a11b2-7b40-4b1e-8335-788cfd423027
15915,PrePiloto_TreatmentArm2,0,cad1a806-5bec-4cf9-98f0-03509f74dc69
15914,PrePiloto_TreatmentArm1,0,4dcd5064-5ced-448f-a863-bcc268ea765e
15913,PrePiloto_TreatmentArm3,0,ffefcb4c-597b-4f37-ba33-094fc591fc08
15910,Prueba,1,6839d069-a953-4942-bdab-111b34c67a8c
15448,HGSSA004390,24,5bd28aaf-345f-4bd1-a630-08415533bfc0
15447,HGSSA000815,4,bf001775-658f-475d-9b1a-6bea86bd7691
15446,HGSSA002693,6,e3b7b71e-4796-4907-9306-3fcb5fe07dc1
15445,HGSSA007704,1,25cf10f4-e694-4e59-8dd9-f96e71c11c3f
15444,HGSSA004320,3,c4dd7af3-0b24-4620-a24d-67f6dda5ac12
15443,HGSSA001515,5,5d9afd36-2f6a-4ea3-a5b5-a3e4cbeb0954
15442,HGSSA003492,4,6ad4f7c2-0709-45a5-bc0a-b01dfc077fdc
15441,HGSSA003562,2,2076c674-0ac6-4b7d-b13e-822cd56a0f83
15440,NOT3,1747,e10cbed9-295c-4134-953e-b0f550e8fa2f
15164,UNCAUGHT,4,ab271384-f184-4e74-9a56-d052790d70fc
15059,Contacts 20160208,9,cc8fc321-8178-4a56-9663-62a83ccd40fd
15023,Contacts 20160205,5,1ffee0d5-2702-4deb-8fb9-d1638b87747a
14599,Followup Another,0,d861364e-b9b6-47fb-b63a-fcbb49679676
14598,Followup Emergency,0,af73a439-d8ae-45fb-bab6-84c081947798
14597,Followup Purchase,0,c0a3a0cf-aca2-4472-8379-8e6fc5881b0f
14596,Ahorro,0,f0387515-1063-41dc-9cce-8b77b9e5b886
14595,Muestra,1,46d9f05b-b162-4c7f-ac35-368859390aee
14546,EduFin-EnrollmentCompletedNoReminders,0,b84bc991-b076-46c2-be66-7dc68a4831c1
14545,EduFin-EnrollmentCompleted,3,ffdbe1f9-f9a6-40a4-9cf4-b28897fde6ba
14544,EduFin-NotInterested,0,d615eeb4-bf70-4ac0-a340-907a73a97359
14526,EduFin-EnrollmentStarted,4,0dc134c7-7b63-4922-89a2-83c4308b1363
14178,Group Chat,0,5ed4d480-e269-4ab3-b944-a08ae0757149
14177,Unsatisfied Customers,0,2de15f43-2254-4ad7-8b74-47e17d7fa3a6
14176,Survey Audience,0,a039ee87-00ed-4284-a5b8-5b4df7efd986
14046,EducacionFinanciera_FG_Tratamiento4,15,2b7a9f8c-602a-4a1e-b3fc-2aab784d2218
14044,EducacionFinanciera_FG_Tratamiento3,9,af1e3e2b-d64d-41e2-96ae-b037663171c6
14043,EducacionFinanciera_FG_Tratamiento2,12,14ad3f4d-bf87-4e43-847f-029e8fedb528
14041,EducacionFinanciera_FG_Tratamiento1,8,dc8f108f-6115-4eb7-8c13-536a2fd0a30c
14026,ALTATELCEL,1598,287d1434-dab0-4f14-9d4b-30a1afa78f23
13789,MIALERTA,9,780754e0-c60b-4992-8d1d-039b4752475b
13788,DELIVERYLIMBO,38,ecd08da4-2f4c-4a56-941d-d2c5bcb8a3d1
13787,PUERPERIUM,213,42bf6803-4a89-48d1-8881-c615d3fdd229
13783,PREGNANT,847,ae7904ad-4f5f-49a3-8efa-731b8eee0ebe
13759,ALTOPD,20,68e4077e-c794-4b76-9a61-afaa96180d36
13758,temp,903,07869ff7-52b5-4481-895f-ddda2b95a7fa
13720,REMGETDATA,254,e0f084a8-e061-4ebb-bbff-151b9a529228
13718,T1,117,831e7fc0-b213-44f5-9879-162bf72c283d
13717,T2,228,e48d111d-6075-47eb-8689-49931a780ef1
13716,T3,129,8aabb937-954f-4719-80d9-801155923551
13711,AUXVO,46,cdb2cc48-e31c-4367-8ddb-34f94c30e400
13693,GETDATA,16,84571a45-c93d-4627-9579-ed5adde95c30
13691,MIALTA,86,f7df047e-7ac0-4a86-b690-39178fce8dfd
13690,ALL,1578,2cfe0d59-6665-4fe9-b5a5-49b93d3b5971
13465,spillovers,50,26306344-bd90-4f7b-bd61-1aa04e32c6d9
12495,RGI_request_20151019,0,8a4d3f4d-2a88-4000-b121-e0451dadb8ea
12463,RGI_request_20151018_going,1,42bf4563-7d59-454a-9a68-7f6c194b857e
12277,RGI_callCenter,34,dcefc9c4-fb77-4b88-83b1-c0237aaa501d
12255,PrePiloto_WrongRelayer(possibly),55,f707c182-f866-40c0-8f89-e8be8bece38b
12206,PrePiloto_StartAlta,0,9fdaade6-913c-45f1-a908-201ce0a681e0
12204,PrePiloto_GetData,27,0a7010fd-64e7-44d1-8588-d40cfaf8fd81
12139,PrePiloto_TrainingLimbo,0,2d80623c-19ee-4dc2-9759-05e6136fea39
12119,testwh,1,4993bb38-51d5-4c5d-9e12-bc7ead43f863
12087,PrePiloto_RemFollow4,8,efb03396-8f4f-4221-8edb-f150cfb0249d
12086,PrePiloto_RemFollow3,2,3e8a66cb-0539-41a5-b277-5321e8169d2b
12085,PrePiloto_RemFollow2,0,d6af4cb9-3058-440c-8306-f95732f62410
12084,PrePiloto_RemFollow1,0,7ee6bf02-b2cc-48fd-ac16-07eb17224e99
12083,PrePiloto_IncompleteVocalReg,1,7cb87f05-d4d7-41df-a64f-346e69a47194
12053,PrePiloto_LeftProsperaDigital,0,920845e5-2139-4783-b25e-4aa7f6ba827f
12050,PrePiloto_Spillover,5,7e149495-1850-44fa-9e2b-5c3e0213d3d1
12049,PrePiloto_Pregnant,82,d7aac319-e548-464d-80ac-91fad3f41a41
12025,PrePiloto_FullData,2,3e46c6cf-1d6d-4873-b00c-954b9cf62421
12023,EDOMEX,6,cff94214-b3dd-44c7-b587-495952246909
12022,PrePiloto_NonProsperaPAL,6,bdbdcf5c-e507-4596-833a-f0b63878b20b
12021,PrePiloto_ProsperaPAL,80,7dcfd8ec-eb8c-4994-be72-b92025904a36
12020,PrePiloto_IncompleteRegistration,52,17dc6a16-0af1-4f6e-95e6-f3664591b97a
12017,testfdv,40,6a7584eb-1e30-428a-90ba-8df0ea582cbe
11996,MCSSA000410,4,e3204814-9327-446b-bce5-5c19cb1b2813
11992,MCSSA005206,18,072a1c5b-d4a7-44b5-b7b0-f430dd2d4651
11915,PrePiloto_VocalAux,6,5e5bf020-1c21-442a-ae15-8327479f62f7
11794,RGI_request,36,087bb040-2b1e-4985-a5bc-34f07562bae5
11161,PrePiloto_vitB9Mal,0,a253b543-793c-4b04-8d3c-bc7324e632ba
10898,PrePiloto_Vocales,0,ee2f6907-658d-4108-97ec-29a5ad195681
10853,PrePiloto_Qualitative,0,3f6013ac-da4e-4ec8-b372-8976aef2d864
